Year,avg,State
1980,17.28683333,Alabama
1981,17.02808333,Alabama
1982,17.72533333,Alabama
1983,16.519,Alabama
1984,17.40183333,Alabama
1985,17.43666667,Alabama
1986,18.13366667,Alabama
1987,17.487,Alabama
1988,16.96941667,Alabama
1989,17.04183333,Alabama
1990,18.5365,Alabama
1991,18.03908333,Alabama
1992,17.03858333,Alabama
1993,17.12675,Alabama
1994,17.51758333,Alabama
1995,17.53641667,Alabama
1996,17.06608333,Alabama
1997,17.25366667,Alabama
1998,18.78683333,Alabama
1999,18.27108333,Alabama
2000,17.91133333,Alabama
2001,17.67775,Alabama
2002,18.02216667,Alabama
2003,17.51316667,Alabama
2004,17.8385,Alabama
2005,17.85725,Alabama
2006,18.29575,Alabama
2007,18.42333333,Alabama
2008,17.5695,Alabama
2009,17.60683333,Alabama
2010,17.46058333,Alabama
2011,18.12425,Alabama
2012,18.73491667,Alabama
2013,18.95655556,Alabama
1980,-4.29325,Alaska
1981,-2.72375,Alaska
1982,-4.919583333,Alaska
1983,-4.121166667,Alaska
1984,-5.036666667,Alaska
1985,-4.456166667,Alaska
1986,-4.136666667,Alaska
1987,-3.673416667,Alaska
1988,-3.8555,Alaska
1989,-4.03975,Alaska
1990,-4.8475,Alaska
1991,-3.999416667,Alaska
1992,-5.104333333,Alaska
1993,-2.46425,Alaska
1994,-4.560333333,Alaska
1995,-3.55925,Alaska
1996,-4.9125,Alaska
1997,-3.299833333,Alaska
1998,-3.063,Alaska
1999,-5.627833333,Alaska
2000,-3.30175,Alaska
2001,-3.727833333,Alaska
2002,-2.238916667,Alaska
2003,-2.8045,Alaska
2004,-2.736583333,Alaska
2005,-2.80725,Alaska
2006,-4.116,Alaska
2007,-3.252416667,Alaska
2008,-4.864083333,Alaska
2009,-3.9795,Alaska
2010,-3.454916667,Alaska
2011,-3.793416667,Alaska
2012,-5.280666667,Alaska
2013,-1.831444444,Alaska
1980,15.82425,Arizona
1981,16.44958333,Arizona
1982,15.03208333,Arizona
1983,15.31041667,Arizona
1984,15.39766667,Arizona
1985,15.43858333,Arizona
1986,15.976,Arizona
1987,15.30358333,Arizona
1988,15.7705,Arizona
1989,16.3345,Arizona
1990,15.53125,Arizona
1991,15.249,Arizona
1992,15.42908333,Arizona
1993,15.55325,Arizona
1994,15.98958333,Arizona
1995,16.20375,Arizona
1996,16.66516667,Arizona
1997,15.95366667,Arizona
1998,15.25808333,Arizona
1999,16.00025,Arizona
2000,16.51025,Arizona
2001,16.25775,Arizona
2002,16.25641667,Arizona
2003,16.67616667,Arizona
2004,15.83975,Arizona
2005,16.26708333,Arizona
2006,16.22016667,Arizona
2007,16.44333333,Arizona
2008,15.91633333,Arizona
2009,16.1885,Arizona
2010,15.798,Arizona
2011,15.774,Arizona
2012,16.75241667,Arizona
2013,17.81322222,Arizona
1980,16.10825,Arkansas
1981,15.92916667,Arkansas
1982,15.79925,Arkansas
1983,15.16841667,Arkansas
1984,15.85983333,Arkansas
1985,15.7045,Arkansas
1986,16.65958333,Arkansas
1987,16.4015,Arkansas
1988,15.73041667,Arkansas
1989,15.27616667,Arkansas
1990,16.87008333,Arkansas
1991,16.55816667,Arkansas
1992,15.79766667,Arkansas
1993,15.39291667,Arkansas
1994,16.01458333,Arkansas
1995,16.0665,Arkansas
1996,15.56508333,Arkansas
1997,15.62141667,Arkansas
1998,17.48791667,Arkansas
1999,17.021,Arkansas
2000,16.36258333,Arkansas
2001,16.5075,Arkansas
2002,16.19858333,Arkansas
2003,16.04533333,Arkansas
2004,16.4005,Arkansas
2005,16.87358333,Arkansas
2006,16.949,Arkansas
2007,16.83366667,Arkansas
2008,15.76175,Arkansas
2009,15.81225,Arkansas
2010,16.47141667,Arkansas
2011,16.86608333,Arkansas
2012,17.826,Arkansas
2013,17.50611111,Arkansas
1980,14.66258333,California
1981,15.31866667,California
1982,13.70216667,California
1983,14.42125,California
1984,14.69916667,California
1985,14.18133333,California
1986,15.04608333,California
1987,14.73983333,California
1988,14.96908333,California
1989,14.60491667,California
1990,14.52758333,California
1991,14.5575,California
1992,15.27691667,California
1993,14.40708333,California
1994,14.56816667,California
1995,15.09383333,California
1996,15.44575,California
1997,15.2005,California
1998,13.90558333,California
1999,14.53525,California
2000,15.01933333,California
2001,15.17125,California
2002,15.03758333,California
2003,15.39141667,California
2004,15.06875,California
2005,14.91966667,California
2006,14.94541667,California
2007,15.06241667,California
2008,15.07116667,California
2009,15.00425,California
2010,14.40816667,California
2011,14.26575,California
2012,15.3585,California
2013,16.84544444,California
1980,7.66125,Colorado
1981,8.412916667,Colorado
1982,6.740166667,Colorado
1983,6.910666667,Colorado
1984,6.57775,Colorado
1985,6.695416667,Colorado
1986,7.921166667,Colorado
1987,7.328416667,Colorado
1988,7.231583333,Colorado
1989,7.335833333,Colorado
1990,7.4715,Colorado
1991,7.192666667,Colorado
1992,7.28925,Colorado
1993,6.491083333,Colorado
1994,7.988833333,Colorado
1995,7.518083333,Colorado
1996,7.524,Colorado
1997,7.048166667,Colorado
1998,7.808333333,Colorado
1999,8.016166667,Colorado
2000,8.204833333,Colorado
2001,8.142916667,Colorado
2002,7.720916667,Colorado
2003,8.253666667,Colorado
2004,7.617416667,Colorado
2005,8.102083333,Colorado
2006,7.9735,Colorado
2007,7.827916667,Colorado
2008,7.088583333,Colorado
2009,7.219166667,Colorado
2010,7.758666667,Colorado
2011,7.39225,Colorado
2012,8.992,Colorado
2013,9.403111111,Colorado
1980,9.267666667,Connecticut
1981,9.458333333,Connecticut
1982,9.307,Connecticut
1983,10.12658333,Connecticut
1984,9.91225,Connecticut
1985,9.713,Connecticut
1986,9.614083333,Connecticut
1987,9.677166667,Connecticut
1988,9.4815,Connecticut
1989,9.231416667,Connecticut
1990,10.83125,Connecticut
1991,10.797,Connecticut
1992,9.050166667,Connecticut
1993,9.55275,Connecticut
1994,9.621833333,Connecticut
1995,9.803083333,Connecticut
1996,9.3675,Connecticut
1997,9.587166667,Connecticut
1998,11.11716667,Connecticut
1999,10.84466667,Connecticut
2000,9.581,Connecticut
2001,10.54733333,Connecticut
2002,10.72291667,Connecticut
2003,9.429833333,Connecticut
2004,9.707416667,Connecticut
2005,10.121,Connecticut
2006,11.02541667,Connecticut
2007,10.09766667,Connecticut
2008,10.3285,Connecticut
2009,9.74425,Connecticut
2010,11.05741667,Connecticut
