Entity ID,Entity_Name,Plant ID,Plant Name,Sector,Plant State,Generator ID,Unit Code,Nameplate_Capacity,Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating_Year,Retirement Month,County,Retirement_Year,Latitude,Longitude,Balancing Authority Code
19511,University of Alaska,50711,University of Alaska Fairbanks,Commercial CHP,AK,GEN1,,1.5,0.5,1.4,Conventional Steam Coal,SUB,ST,1,1964, ,Fairbanks North Star,2050,64.854171,-147.8221,
19511,University of Alaska,50711,University of Alaska Fairbanks,Commercial CHP,AK,GEN2,,1.5,0.5,1.4,Conventional Steam Coal,SUB,ST,1,1964, ,Fairbanks North Star,2050,64.854171,-147.8221,
19511,University of Alaska,50711,University of Alaska Fairbanks,Commercial CHP,AK,GEN3,,10,8.1,10,Conventional Steam Coal,SUB,ST,4,1981, ,Fairbanks North Star,2050,64.854171,-147.8221,
986,Aurora Energy LLC,79,Aurora Energy LLC Chena,IPP CHP,AK,1,,5,4.7,4.3,Conventional Steam Coal,SUB,ST,6,1952, ,Fairbanks North Star,2050,64.847743,-147.7351,
986,Aurora Energy LLC,79,Aurora Energy LLC Chena,IPP CHP,AK,2,,2.5,2,2,Conventional Steam Coal,SUB,ST,6,1952, ,Fairbanks North Star,2050,64.847743,-147.7351,
986,Aurora Energy LLC,79,Aurora Energy LLC Chena,IPP CHP,AK,5,,20,19,18.8,Conventional Steam Coal,SUB,ST,6,1975, ,Fairbanks North Star,2050,64.847743,-147.7351,
986,Aurora Energy LLC,79,Aurora Energy LLC Chena,IPP CHP,AK,3,,1.5,1.5,1.5,Conventional Steam Coal,SUB,ST,6,1952,8,Fairbanks North Star,2009,64.847743,-147.7351,
56389,Doyon Utilities - Ft. Wainwright,50308,Utility Plants Section,Electric Utility,AK,GEN1,F401,5,3.5,3.5,Conventional Steam Coal,SUB,ST,1,1955, ,Fairbanks North Star,2050,64.825601,-147.6486,
56389,Doyon Utilities - Ft. Wainwright,50308,Utility Plants Section,Electric Utility,AK,GEN3,F401,5,6.5,4.5,Conventional Steam Coal,SUB,ST,1,1955, ,Fairbanks North Star,2050,64.825601,-147.6486,
56389,Doyon Utilities - Ft. Wainwright,50308,Utility Plants Section,Electric Utility,AK,GEN4,F401,5,6.5,4.5,Conventional Steam Coal,SUB,ST,1,1955, ,Fairbanks North Star,2050,64.825601,-147.6486,
